X105_B	X10_B	X128_B	X12_B	X130_B	X133_B	X137_B	X150_B	X157_B	X172_B	X180_B	X181_B	X184_B	X201_B	X229_B	X238_B	X240_B	X256_B	X258_B	X263_B	X265_B	X268_B	X26_B	X272_B	X274_B	X275_B	X276_B	X281_B	X282_B	X332_B	X335_B	X338_B	X341_B	X343_B	X350_B	X367_B	X377_B	X383_B	X385_B	X397_B	X39_B	X42_B	X45_B	X51_B	X521_B	X526_B	X527_B	X536_B	X544_B	X549_B	X560_B	X565_B	X567_B	X572_B	X582_B	X585_B	X587_B	X589_B	X590_B	X591_B	X599_B	X608_B	X615_B	X624_B	X633_B	X637_B	X78_B	X87_B
MN00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012497429728776	0	0	0
MN00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00057	0	0	0	0	0	0	0	0	0	0	0	0	0.000659723465792911	0	0.000338705748712288	0	0	0	0	0	0	0	0	0.00338715833001569	0	0.00612028237570279	0	0	0.000853522079155924	0	0	0	0.000310732512948032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000946822529709896	0	0	0.000177764449405821	0.00155468138838515	0	0	0	0	0	0	0	0.00335317302047023	0	0.00013192861551093	0	0.000335217039622559	0	0
MN00058	0	0	0	0	0	0	0	0	0	0	0	0	3.49847951991789e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00326758123910498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00016161572862794	0	0	0	0	0	0	0	0	0	0	0	0	0.000263944830886647	0	0	0	0	0	2.55222995479627e-05	0	0	0	0	0	0	5.49667041789163e-05	0	0	0	0	6.43033584276257e-05	0	0	0	0	0	0	0	7.5679376695432e-05	0	0	0	0	0	2.72343042399429e-05	0	0.000288571639524498	0	0	0	0	0	8.01310430228454e-05
MN00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162055276189512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97304079272802e-05	0	0	0
MN00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.59212449722913e-05	0	7.72009625470199e-05	0	0	0	0	5.25607843677235e-05	4.52101696194784e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041389493578902	0	0	0
MN00063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000698056019161583	0	0	0	0	0	0	0.000118278566770203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000258907039675528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118361884075397	0	0	0	0	0	6.37346594467975e-05	0	0	0
MN00064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00512545053697428	0	2.86778203892373e-05	0
MN00065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003429876260509	0	2.7559932357935e-05	6.16174374196352e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00066	3.58737060333821e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139320886714679	0.00564530577405158	0	0	0	0	0	0	0	0	0.00010827554020071	0	0	0	0	0	0	0	0	0	0	0.000463006212082351	0	0	0	0	0	0	0	5.21123973933333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.00067115957451929	0	0	0	7.80919291175724e-05	0	0.0252168291232681
MN00067	0	0	0	0.000879737178025238	0	0	0	0	0	0.00115870391993795	0	0.00155543952250203	0	0.000630386853962061	0	0	0	0	0.000334035055281778	0.00328097731583301	0	0	0	0	0	0.000134034563476083	0	6.82348496963898e-05	0.00128723231147186	0.00042391948514162	0.000200503705275909	0	0	0	4.86292444894662e-05	0.000314940400045297	0	0	0	0	0.00102809891466287	0	0	0	0	0	0	0	0	0	0	0.000774304919618761	0	0	0	0.00200102923992941	0	0	0	0.000311989302525612	0	0	0	0.00266981311698932	0.000190045506624226	6.90264489184844e-05	0	0
MN00068	0	0	0	0	0	1.62125439660482e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000350381104280454	0	0	0
